"district","school","id","year","grads","college","mncollege","remedial"
"A.C.G.C. Public School District","A.C.G.C. SECONDARY","2396-01-300",2006,72,56,50,13
"A.C.G.C. Public School District","A.C.G.C. SECONDARY","2396-01-300",2007,62,45,41,"fewer than 10"
"A.C.G.C. Public School District","A.C.G.C. SECONDARY","2396-01-300",2008,63,53,44,18
"A.C.G.C. Public School District","A.C.G.C. SECONDARY","2396-01-300",2009,49,41,34,"fewer than 10"
"A.C.G.C. Public School District","A.C.G.C. SECONDARY","2396-01-300",2010,50,41,38,15
"A.C.G.C. Public School District","A.C.G.C. SECONDARY","2396-01-300",2011,57,44,36,12
"A.C.G.C. Public School District","A.C.G.C. SECONDARY","2396-01-300",2012,54,40,30,"fewer than 10"
"Ada-Borup Public School District","ADA-BORUP SECONDARY","2854-01-030",2006,50,40,29,"fewer than 10"
"Ada-Borup Public School District","ADA-BORUP SECONDARY","2854-01-030",2007,43,33,23,"fewer than 10"
"Ada-Borup Public School District","ADA-BORUP SECONDARY","2854-01-030",2008,42,33,19,"fewer than 10"
"Ada-Borup Public School District","ADA-BORUP SECONDARY","2854-01-030",2009,39,30,25,"fewer than 10"
"Ada-Borup Public School District","ADA-BORUP SECONDARY","2854-01-030",2010,42,31,19,"fewer than 10"
"Ada-Borup Public School District","ADA-BORUP SECONDARY","2854-01-030",2011,41,27,13,"fewer than 10"
"Ada-Borup Public School District","ADA-BORUP SECONDARY","2854-01-030",2012,43,31,17,"fewer than 10"
"Adrian Public School District","ADRIAN SECONDARY","0511-01-020",2006,49,39,26,"fewer than 10"
"Adrian Public School District","ADRIAN SECONDARY","0511-01-020",2007,52,42,27,"fewer than 10"
"Adrian Public School District","ADRIAN SECONDARY","0511-01-020",2008,50,39,17,"fewer than 10"
"Adrian Public School District","ADRIAN SECONDARY","0511-01-020",2009,50,42,25,"fewer than 10"
"Adrian Public School District","ADRIAN SECONDARY","0511-01-020",2010,54,45,12,"fewer than 10"
"Adrian Public School District","ADRIAN SECONDARY","0511-01-020",2011,43,40,17,"fewer than 10"
"Adrian Public School District","ADRIAN SECONDARY","0511-01-020",2012,46,36,"fewer than 10","fewer than 10"
"AFSA High School","AFSA HIGH SCHOOL","4074-07-010",2006,44,31,22,"fewer than 10"
"AFSA High School","AFSA HIGH SCHOOL","4074-07-010",2007,40,29,15,"fewer than 10"
"AFSA High School","AFSA HIGH SCHOOL","4074-07-010",2008,36,33,25,"fewer than 10"
"AFSA High School","AFSA HIGH SCHOOL","4074-07-010",2009,44,34,25,11
"AFSA High School","AFSA HIGH SCHOOL","4074-07-010",2010,57,37,24,10
"AFSA High School","AFSA HIGH SCHOOL","4074-07-010",2011,40,30,17,"fewer than 10"
"AFSA High School","AFSA HIGH SCHOOL","4074-07-010",2012,40,29,22,"fewer than 10"
"Aitkin Public School District","AITKIN SECONDARY SCHOOL","0001-01-001",2006,93,63,52,12
"Aitkin Public School District","AITKIN SECONDARY SCHOOL","0001-01-001",2007,92,70,65,19
"Aitkin Public School District","AITKIN SECONDARY SCHOOL","0001-01-001",2008,104,77,62,16
"Aitkin Public School District","AITKIN SECONDARY SCHOOL","0001-01-001",2009,98,75,59,18
"Aitkin Public School District","AITKIN SECONDARY SCHOOL","0001-01-001",2010,82,62,51,"fewer than 10"
"Aitkin Public School District","AITKIN SECONDARY SCHOOL","0001-01-001",2011,83,63,51,"fewer than 10"
"Aitkin Public School District","AITKIN SECONDARY SCHOOL","0001-01-001",2012,84,58,51,11
"Albany Public School District","ALBANY SENIOR HIGH","0745-01-060",2006,121,98,94,17
"Albany Public School District","ALBANY SENIOR HIGH","0745-01-060",2007,109,85,70,"fewer than 10"
"Albany Public School District","ALBANY SENIOR HIGH","0745-01-060",2008,147,123,101,22
"Albany Public School District","ALBANY SENIOR HIGH","0745-01-060",2009,99,87,81,20
"Albany Public School District","ALBANY SENIOR HIGH","0745-01-060",2010,106,87,78,13
"Albany Public School District","ALBANY SENIOR HIGH","0745-01-060",2011,108,98,89,10
"Albany Public School District","ALBANY SENIOR HIGH","0745-01-060",2012,100,79,66,"fewer than 10"
"Albert Lea Public School District","ALBERT LEA AREA LEARNING CNTR.","0241-01-350",2006,43,10,"fewer than 10","fewer than 10"
"Albert Lea Public School District","ALBERT LEA AREA LEARNING CNTR.","0241-01-350",2007,42,"fewer than 10","fewer than 10","fewer than 10"
"Albert Lea Public School District","ALBERT LEA AREA LEARNING CNTR.","0241-01-350",2008,33,13,"fewer than 10","fewer than 10"
