"id","School.Name","2006","2007","2008","2009","2010","2011","2012","mean","grad.rate"
"0001-01-001","AITKIN SECONDARY SCHOOL            ",0.23,0.29,0.26,0.31,,,0.22,0.26,0.83
"0001-03-352","EDISON SENIOR HIGH                 ",0.42,0.43,0.47,0.38,0.45,0.51,0.49,0.45,0.52
"0001-03-354","HENRY SENIOR HIGH                  ",0.36,0.45,0.34,0.35,0.39,0.36,0.4,0.38,0.68
"0001-03-358","NORTH SENIOR HIGH                  ",0.3,0.38,0.46,0.43,0.43,0.57,0.74,0.47,0.44
"0001-03-360","ROOSEVELT SENIOR HIGH              ",0.43,0.47,0.5,0.33,0.51,0.51,0.38,0.45,0.49
"0001-03-362","SOUTH SENIOR HIGH                  ",0.24,0.26,0.28,0.26,0.23,0.21,0.23,0.24,0.75
"0001-03-364","SOUTHWEST SENIOR HIGH              ",0.24,0.23,0.26,0.29,0.19,0.21,0.19,0.23,0.8
"0001-03-368","WASHBURN SENIOR HIGH               ",0.38,0.5,0.35,0.38,0.42,0.44,0.36,0.4,0.53
"0001-03-380","TRANSITION PLUS SERVICES           ",,,0.43,,,,0.41,0.42,0.18
"0006-03-120","SOUTH ST. PAUL SECONDARY           ",0.32,0.3,0.3,0.32,0.29,0.27,0.15,0.28,0.88
"0011-01-001","ANOKA SENIOR HIGH                  ",0.32,0.3,0.34,0.3,0.29,0.24,0.2,0.28,0.85
"0011-01-002","COON RAPIDS SENIOR HIGH            ",0.35,0.38,0.38,0.35,0.28,0.3,0.24,0.33,0.79
"0011-01-091","BLAINE SENIOR HIGH                 ",0.37,0.35,0.35,0.33,0.32,0.28,0.23,0.32,0.86
"0011-01-094","ANDOVER SENIOR HIGH                ",0.34,0.25,0.32,0.25,0.25,0.25,0.15,0.26,0.9
"0011-01-192","CHAMPLIN PARK SENIOR HIGH          ",0.3,0.34,0.36,0.36,0.32,0.34,0.25,0.32,0.88
"0012-01-164","CENTENNIAL HIGH SCHOOL             ",0.28,0.27,0.26,0.32,0.21,0.17,0.17,0.24,0.97
"0013-01-016","COLUMBIA HEIGHTS SENIOR HIGH       ",0.52,0.45,0.37,0.34,0.4,0.41,0.28,0.4,0.81
"0014-01-022","FRIDLEY SENIOR HIGH                ",0.25,0.34,0.39,0.32,0.36,0.43,0.29,0.34,0.85
"0015-01-122","ST. FRANCIS HIGH                   ",0.35,0.33,0.36,0.29,0.28,0.25,0.22,0.3,0.91
"0016-01-045","SPRING LAKE PARK SENIOR HIGH       ",0.3,0.43,0.31,0.29,0.3,0.34,0.28,0.32,0.92
"0022-01-003","DETROIT LAKES SENIOR HIGH          ",0.21,0.21,0.25,0.15,0.11,0.23,0.16,0.19,0.92
"0031-01-020","BEMIDJI SENIOR HIGH                ",0.19,0.18,0.18,0.14,0.17,0.14,0.09,0.16,0.87
"0047-01-001","SAUK RAPIDS-RICE SENIOR HIGH       ",0.2,0.27,0.29,0.26,0.31,0.27,0.18,0.25,0.92
"0051-01-020","FOLEY SENIOR HIGH                  ",0.15,0.18,0.2,0.18,0.24,,0.12,0.18,0.94
"0077-01-130","MANKATO WEST SENIOR HIGH           ",0.28,0.3,0.31,0.28,0.19,0.27,0.2,0.26,0.89
"0077-01-160","MANKATO EAST SENIOR HIGH           ",0.2,0.29,0.34,0.29,0.33,0.38,0.21,0.29,0.84
"0088-01-050","NEW ULM HIGH SCHOOL                ",0.27,0.35,0.25,0.41,0.23,0.24,0.19,0.28,0.93
"0094-01-202","CLOQUET SENIOR                     ",0.26,0.25,0.26,0.29,0.33,0.19,0.2,0.25,0.86
"0110-01-310","WACONIA SENIOR HIGH                ",0.19,0.29,0.26,0.11,0.31,0.2,0.16,0.22,0.91
"0111-01-842","WATERTOWN MAYER HIGH               ",0.26,0.28,0.3,0.34,0.24,0.22,0.25,0.27,0.95
"0112-01-060","CHASKA HIGH SCHOOL                 ",0.21,0.27,0.23,0.19,0.18,0.28,0.19,0.22,0.9
"0112-01-064","CHANHASSEN HIGH SCHOOL             ",,,,,,0.14,0.15,0.15,0.93
"0129-01-040","MONTEVIDEO SENIOR HIGH             ",0.15,0.19,0.4,0.32,0.17,0.38,,0.27,0.98
"0138-01-030","NORTH BRANCH SENIOR HIGH           ",0.28,0.44,0.33,0.28,0.27,0.25,0.3,0.31,0.89
"0152-01-382","MOORHEAD HIGH SCHOOL               ",0.17,0.19,0.31,0.17,0.19,0.23,0.15,0.2,0.81
"0181-01-014","BRAINERD SENIOR HIGH               ",0.25,0.22,0.17,0.11,0.19,0.19,0.08,0.17,0.83
"0182-01-001","CROSBY-IRONTON SECONDARY           ",0.3,0.26,0.19,0.18,0.3,0.2,,0.24,0.87
"0186-01-020","PEQUOT LAKES SENIOR HIGH           ",0.21,0.28,0.21,0.26,,,,0.24,0.94
"0191-01-014","BURNSVILLE SENIOR HIGH             ",0.24,0.32,0.26,0.25,0.25,0.26,0.19,0.25,0.87
"0192-01-020","FARMINGTON HIGH SCHOOL             ",0.3,0.28,0.33,0.31,0.38,0.25,0.27,0.3,0.93
"0194-01-028","LAKEVILLE NORTH HIGH               ",0.28,0.22,0.2,0.21,0.17,0.18,0.15,0.2,0.93
"0194-01-040","LAKEVILLE SOUTH HIGH               ",,0.28,0.2,0.21,0.21,0.17,0.16,0.2,0.94
"0196-01-038","ROSEMOUNT SENIOR HIGH              ",0.28,0.27,0.3,0.25,0.23,0.25,0.18,0.25,0.94
"0196-01-041","EAGAN SENIOR HIGH                  ",0.24,0.27,0.22,0.22,0.18,0.16,0.14,0.2,0.94
"0196-01-058","ROSEMOUNT AREA LEARNING CENTER     ",,,0.37,0.52,0.55,0.42,0.42,0.46,0.43
"0196-01-060","SCHOOL OF ENVIRONMENTAL STUDIES    ",,,,,0.3,0.26,0.26,0.27,0.96
"0196-01-088","EASTVIEW SENIOR HIGH               ",0.25,0.23,0.19,0.21,0.17,0.23,0.16,0.21,0.94
"0196-01-097","APPLE VALLEY SENIOR HIGH           ",0.23,0.24,0.27,0.26,0.3,0.25,0.23,0.25,0.94
"0197-01-053","HENRY SIBLEY HIGH SCHOOL           ",0.26,0.23,0.31,0.29,0.25,0.24,0.28,0.27,0.88
"0199-01-026","SIMLEY SENIOR HIGH                 ",0.37,0.28,0.32,0.33,0.38,0.3,0.22,0.31,0.9
"0200-01-129","HASTINGS HIGH SCHOOL               ",0.25,0.27,0.31,0.26,0.32,0.23,0.22,0.27,0.94
"0204-01-030","KASSON-MANTORVILLE SENIOR HIGH     ",0.33,0.26,0.32,0.28,0.29,0.29,0.28,0.29,0.96
"0206-01-320","JEFFERSON SENIOR HIGH              ",0.14,0.17,0.19,0.08,0.12,0.15,0.14,0.14,0.91
"0241-01-310","ALBERT LEA SENIOR HIGH             ",0.22,0.25,0.26,0.24,0.22,0.31,0.26,0.25,0.82
"0252-01-002","CANNON FALLS SEC.                  ",0.29,0.28,0.26,0.17,,,0.24,0.25,0.97
"0256-01-108","RED WING SENIOR HIGH               ",0.16,0.17,0.23,0.22,0.31,0.31,0.34,0.25,0.9
"0270-01-282","HOPKINS SENIOR HIGH                ",0.21,0.24,0.27,0.24,0.27,0.2,0.24,0.24,0.82
"0271-01-007","KENNEDY SENIOR HIGH                ",0.3,0.37,0.32,0.36,0.45,0.4,0.37,0.37,0.83
"0271-01-009","JEFFERSON SENIOR HIGH              ",0.17,0.24,0.28,0.23,0.2,0.26,0.15,0.22,0.92
