"id","School.Name","2006","2007","2008","2009","2010","2011","2012","mean","grad.rate"
"0001-03-352","EDISON SENIOR HIGH                 ",0.34,0.36,0.4,0.33,0.38,0.43,0.45,0.38,0.52
"0001-03-354","HENRY SENIOR HIGH                  ",0.31,0.37,0.27,0.3,0.33,0.29,0.33,0.31,0.68
"0001-03-358","NORTH SENIOR HIGH                  ",0.2,0.32,0.33,0.33,0.37,0.38,0.64,0.37,0.44
"0001-03-360","ROOSEVELT SENIOR HIGH              ",0.35,0.41,0.42,0.27,0.4,0.42,0.32,0.37,0.49
"0001-03-362","SOUTH SENIOR HIGH                  ",0.15,0.17,0.2,0.16,0.15,0.15,0.16,0.16,0.75
"0001-03-364","SOUTHWEST SENIOR HIGH              ",0.14,0.12,0.14,0.14,0.1,0.12,0.1,0.12,0.8
"0001-03-368","WASHBURN SENIOR HIGH               ",0.32,0.44,0.29,0.31,0.36,0.3,0.24,0.32,0.53
"0625-01-210","CENTRAL SENIOR HIGH                ",0.21,0.21,0.22,0.21,0.19,0.26,0.2,0.21,0.89
"0625-01-212","COMO PARK SENIOR HIGH              ",0.23,0.26,0.3,0.26,0.28,0.32,0.29,0.28,0.81
"0625-01-215","HARDING SENIOR HIGH                ",0.37,0.41,0.36,0.38,0.42,0.43,0.37,0.39,0.77
"0625-01-220","HIGHLAND PARK SENIOR HIGH          ",0.19,0.27,0.21,0.18,0.26,0.29,0.26,0.24,0.84
"0625-01-230","JOHNSON SENIOR HIGH                ",0.33,0.32,0.26,0.33,0.34,0.42,0.38,0.34,0.77
